alert_type,delay_impact,safety_risk,affected_trains,route_busy,peak_hour,priority
track_fault,0.06,0.1665,16,0,1,Medium
passenger_emergency,35.84,0.0322,18,0,1,Medium
passenger_emergency,12.87,0.1492,15,1,0,Medium
track_fault,1.04,0.2365,13,1,1,High
engine_issue,14.95,0.3065,14,0,1,High
engine_issue,4.09,0.3663,8,1,0,High
weather_alert,0.86,0.1423,14,1,1,Medium
weather_alert,6.99,0.4947,11,1,1,Critical
passenger_emergency,26.51,0.5647,10,1,1,Critical
track_fault,31.33,0.6181,6,0,1,Critical
engine_issue,18.59,0.5617,7,1,1,Critical
engine_issue,15.65,0.2506,3,0,0,Low
passenger_emergency,3.86,0.2275,14,1,0,Medium
track_fault,2.37,0.0908,1,1,0,Low
engine_issue,25.14,0.3959,3,1,0,High
signal_failure,6.8,0.277,6,1,0,Medium
passenger_emergency,39.41,0.5866,3,1,0,Critical
track_fault,12.03,0.1549,15,1,0,Medium
track_fault,19.13,0.2961,3,1,1,High
engine_issue,15.61,0.2207,9,1,1,High
engine_issue,9.75,0.2438,14,0,1,Medium
passenger_emergency,0.17,0.6158,12,0,0,Critical
engine_issue,2.13,0.1079,12,0,0,Low
engine_issue,3.49,0.2029,7,1,1,Medium
signal_failure,1.08,0.2402,9,1,1,Medium
signal_failure,2.04,0.3178,15,0,1,High
track_fault,12.13,0.1389,10,1,0,Low
passenger_emergency,13.55,0.3762,14,0,0,High
passenger_emergency,18.43,0.2163,16,1,1,High
weather_alert,3.04,0.4532,5,1,0,High
weather_alert,23.52,0.0812,3,0,0,Low
track_fault,3.48,0.0246,9,0,0,Low
signal_failure,0.31,0.2093,8,0,1,Low
signal_failure,7.41,0.3015,3,0,0,Low
track_fault,3.01,0.1,15,0,1,Low
track_fault,13.39,0.4201,12,0,1,Critical
signal_failure,38.18,0.4219,13,1,1,Critical
track_fault,8.61,0.1109,14,1,1,Medium
signal_failure,37.23,0.2433,9,0,1,High
weather_alert,6.99,0.1137,10,1,0,Low
passenger_emergency,0.4,0.3607,5,0,0,Medium
weather_alert,35.88,0.0694,14,0,1,Medium
engine_issue,9.56,0.0857,18,0,1,Medium
engine_issue,29.03,0.1212,17,1,1,High
track_fault,3.53,0.2642,8,0,0,Low
signal_failure,11.85,0.1133,1,0,1,Low
engine_issue,1.25,0.3665,17,0,0,High
engine_issue,13.96,0.3721,11,1,1,Critical
signal_failure,7.51,0.5768,15,1,0,Critical
engine_issue,24.63,0.1952,6,0,1,Medium
track_fault,14.04,0.2355,17,0,1,High
signal_failure,14.68,0.5238,16,0,1,Critical
weather_alert,6.69,0.0565,1,0,1,Low
engine_issue,15.83,0.152,11,1,1,High
weather_alert,20.53,0.5014,10,0,0,Critical
weather_alert,11.17,0.2994,13,0,0,Medium
passenger_emergency,26.46,0.199,5,0,1,Medium
passenger_emergency,3.94,0.0865,2,1,1,Low
weather_alert,10.35,0.1904,6,1,0,Low
passenger_emergency,14.51,0.1033,10,1,1,Medium
engine_issue,6.43,0.4399,6,1,0,High
passenger_emergency,3.35,0.2746,9,1,0,Medium
weather_alert,1.51,0.2193,8,1,0,Low
weather_alert,13.06,0.3208,14,0,1,High
passenger_emergency,4.12,0.1164,8,1,0,Low
engine_issue,0.95,0.2958,3,1,0,Medium
weather_alert,12.44,0.2102,13,0,1,Medium
track_fault,1.65,0.3976,5,0,1,High
passenger_emergency,31.17,0.2592,6,1,0,High
weather_alert,1.27,0.3031,14,0,1,High
weather_alert,20.4,0.5836,6,0,0,Critical
engine_issue,14.92,0.0165,2,1,0,Low
passenger_emergency,0.77,0.0668,7,1,0,Low
signal_failure,6.52,0.1217,8,0,0,Low
signal_failure,25.38,0.0594,14,1,1,Medium
engine_issue,2.45,0.1505,14,1,0,Low
weather_alert,9.27,0.0336,1,0,1,Low
passenger_emergency,25.68,0.1199,15,1,0,Medium
engine_issue,2.77,0.4599,15,0,0,High
weather_alert,4.22,0.1107,4,1,0,Low
engine_issue,1.57,0.3495,7,0,1,Medium
passenger_emergency,35.49,0.5347,15,1,0,Critical
weather_alert,1.37,0.2676,11,0,0,Low
engine_issue,44.31,0.0648,7,1,0,Medium
passenger_emergency,7.23,0.3807,15,0,1,High
signal_failure,22.87,0.1006,13,1,0,Medium
passenger_emergency,19.87,0.1911,10,1,0,Medium
signal_failure,13.92,0.5649,1,0,0,High
track_fault,8.18,0.0702,13,0,0,Low
passenger_emergency,13.24,0.3336,4,0,1,High
weather_alert,5.5,0.2313,18,1,0,High
passenger_emergency,15.66,0.2476,4,1,1,High
weather_alert,0.1,0.1542,1,1,0,Low
weather_alert,0.98,0.4955,8,1,0,High
track_fault,1.6,0.2913,7,0,0,Low
signal_failure,2.58,0.4138,7,1,1,Critical
signal_failure,3.93,0.0618,18,0,1,Low
track_fault,25.76,0.0114,6,0,0,Low
signal_failure,53.42,0.4155,16,0,0,Critical
engine_issue,2.97,0.2799,4,0,1,Medium
weather_alert,1.01,0.0668,12,0,0,Low
passenger_emergency,3.31,0.3683,3,0,0,Medium
engine_issue,17.06,0.4717,5,0,1,Critical
passenger_emergency,25.49,0.1875,3,0,1,Medium
passenger_emergency,7.56,0.44,7,0,1,High
passenger_emergency,7.01,0.4722,9,1,0,Critical
engine_issue,12.96,0.1755,17,0,1,Medium
track_fault,18.12,0.4817,15,1,0,Critical
passenger_emergency,11.47,0.254,14,1,0,High
track_fault,0.42,0.4381,10,0,1,High
engine_issue,56.19,0.5987,6,1,1,Critical
signal_failure,7.18,0.1098,6,0,0,Low
weather_alert,8.85,0.1643,3,0,1,Low
weather_alert,1.35,0.6347,13,1,1,Critical
signal_failure,0.86,0.2371,15,1,1,High
track_fault,0.98,0.3141,11,1,1,High
engine_issue,10.67,0.2711,11,1,0,Medium
engine_issue,0.89,0.1213,8,0,1,Low
passenger_emergency,45.14,0.4423,19,0,0,Critical
track_fault,9.35,0.3352,17,1,0,High
passenger_emergency,9.09,0.2716,8,0,0,Low
engine_issue,26.78,0.0877,15,0,1,Medium
passenger_emergency,8.85,0.1202,7,0,1,Low
track_fault,3.06,0.2049,3,0,1,Low
signal_failure,15.7,0.5326,6,0,1,Critical
signal_failure,0.5,0.5675,16,0,0,Critical
track_fault,1.81,0.2264,10,1,0,Medium
passenger_emergency,12.65,0.0631,17,0,1,Low
signal_failure,0.24,0.2944,7,1,0,Medium
track_fault,11.37,0.2395,9,1,1,High
signal_failure,28.77,0.4024,2,1,1,Critical
passenger_emergency,63.98,0.4578,15,1,1,Critical
weather_alert,21.7,0.1304,6,0,0,Low
weather_alert,3.22,0.0756,2,1,1,Low
weather_alert,5.99,0.4119,5,1,1,Critical
weather_alert,4.54,0.3485,13,1,0,High
weather_alert,4.88,0.2942,16,0,1,High
signal_failure,16.17,0.0491,19,1,0,Medium
passenger_emergency,27.21,0.1915,5,0,0,Low
weather_alert,6.34,0.1358,12,0,0,Low
weather_alert,0.16,0.1506,9,0,1,Low
track_fault,4.8,0.1333,14,1,1,Medium
passenger_emergency,10.64,0.3171,13,1,1,Critical
track_fault,3.57,0.0462,2,1,0,Low
signal_failure,6.37,0.3376,3,1,0,Medium
passenger_emergency,25.27,0.1369,12,1,0,Medium
track_fault,4.12,0.1894,11,1,0,Medium
signal_failure,9.35,0.4983,17,0,1,Critical
weather_alert,10.31,0.1704,17,1,1,High
track_fault,26.8,0.1924,2,1,0,Medium
passenger_emergency,7.21,0.1832,12,0,0,Low
engine_issue,11.95,0.5474,8,1,1,Critical
signal_failure,5.95,0.1328,10,0,0,Low
passenger_emergency,6.47,0.2942,2,1,0,Medium
engine_issue,67.62,0.1363,16,1,0,Critical
track_fault,9.82,0.123,4,0,1,Low
weather_alert,54.97,0.0604,18,1,1,Critical
engine_issue,8.29,0.1574,18,0,0,Low
signal_failure,0.72,0.0634,16,1,0,Low
weather_alert,1.5,0.1552,3,0,0,Low
engine_issue,0.55,0.0428,8,0,0,Low
weather_alert,15.05,0.288,1,0,1,Medium
passenger_emergency,11.86,0.3847,12,1,0,High
weather_alert,3.49,0.2575,17,0,1,High
weather_alert,18.28,0.0576,11,0,0,Low
track_fault,23.93,0.2287,1,1,1,High
track_fault,11.84,0.0553,6,0,1,Low
engine_issue,7.99,0.0977,4,1,1,Low
passenger_emergency,5.97,0.3918,9,0,1,High
engine_issue,3.4,0.1412,8,0,1,Low
track_fault,9.75,0.2101,16,0,0,Medium
weather_alert,13.64,0.5528,5,0,0,High
passenger_emergency,9.41,0.0293,6,1,1,Low
passenger_emergency,10.62,0.4671,5,0,0,High
track_fault,51.42,0.3951,17,1,1,Critical
weather_alert,39.66,0.5114,6,1,0,Critical
engine_issue,7.23,0.2082,19,0,1,Medium
engine_issue,4.33,0.558,13,0,0,Critical
track_fault,116.01,0.0919,6,0,1,Critical
signal_failure,1.76,0.385,12,0,1,High
track_fault,16.91,0.3039,3,1,0,Medium
engine_issue,25.3,0.0092,18,1,1,Medium
passenger_emergency,0.3,0.1294,19,0,1,Medium
passenger_emergency,43.45,0.3219,6,1,0,Critical
signal_failure,8.77,0.4254,4,0,1,High
weather_alert,15.89,0.7397,9,0,0,Critical
signal_failure,2.51,0.4479,15,0,1,Critical
weather_alert,46.37,0.2437,12,0,0,High
track_fault,25.26,0.0657,1,1,0,Low
engine_issue,14.7,0.0394,1,0,0,Low
weather_alert,5.39,0.3083,5,1,0,Medium
engine_issue,16.16,0.2501,15,1,0,High
passenger_emergency,18.44,0.2301,5,0,0,Low
engine_issue,54.2,0.4273,17,1,1,Critical
passenger_emergency,1.91,0.4219,6,1,0,High
weather_alert,9.09,0.0324,17,1,0,Low
track_fault,3.76,0.3004,18,1,0,High
weather_alert,4.79,0.3818,14,1,0,High
engine_issue,41.6,0.0894,4,0,0,Low
engine_issue,1.57,0.0189,2,0,0,Low
signal_failure,23.8,0.4321,4,1,0,Critical
signal_failure,49.09,0.4432,13,0,1,Critical
engine_issue,0.35,0.1791,14,0,0,Low
signal_failure,4.08,0.1275,19,1,1,High
passenger_emergency,6.3,0.3269,19,1,1,Critical
passenger_emergency,1.85,0.2054,6,1,0,Low
weather_alert,1.12,0.249,8,1,1,Medium
weather_alert,4.06,0.0407,15,0,1,Low
engine_issue,2.92,0.0782,15,0,0,Low
signal_failure,16.73,0.2696,6,1,0,Medium
track_fault,16.63,0.2343,1,1,1,Medium
engine_issue,17.44,0.4622,2,1,1,Critical
passenger_emergency,41.19,0.1742,16,1,0,High
track_fault,1.29,0.0592,7,0,0,Low
engine_issue,10.0,0.2158,14,0,0,Low
track_fault,8.89,0.3351,16,1,1,Critical
signal_failure,42.84,0.2208,18,1,1,Critical
signal_failure,3.43,0.6404,10,1,1,Critical
track_fault,20.45,0.6573,13,1,0,Critical
signal_failure,2.98,0.5234,4,0,0,High
signal_failure,1.31,0.5041,18,1,1,Critical
track_fault,14.22,0.4872,17,0,1,Critical
track_fault,13.96,0.4616,8,1,0,Critical
engine_issue,47.54,0.1407,7,0,0,Medium
signal_failure,1.64,0.1868,14,0,0,Low
track_fault,6.49,0.312,8,1,0,Medium
engine_issue,35.86,0.363,14,0,0,High
passenger_emergency,12.87,0.465,2,0,1,High
weather_alert,21.49,0.3288,6,0,0,Medium
passenger_emergency,1.65,0.2221,15,1,0,Medium
track_fault,0.32,0.1496,18,1,1,Medium
engine_issue,9.84,0.2837,1,1,0,Medium
engine_issue,5.44,0.1823,15,1,0,Medium
passenger_emergency,16.35,0.1585,2,1,0,Low
passenger_emergency,24.4,0.1947,17,1,0,High
passenger_emergency,37.27,0.1197,5,0,1,Medium
weather_alert,38.47,0.2007,7,0,0,Medium
engine_issue,18.05,0.3056,14,1,0,High
engine_issue,1.38,0.1675,16,1,1,Medium
passenger_emergency,5.7,0.575,8,1,1,Critical
track_fault,11.81,0.3673,6,1,1,Critical
track_fault,42.05,0.3948,19,0,1,Critical
passenger_emergency,0.23,0.296,19,1,1,Critical
track_fault,23.67,0.0931,10,1,1,Medium
track_fault,4.7,0.2757,1,1,1,Medium
engine_issue,2.34,0.486,19,1,1,Critical
track_fault,1.85,0.1284,12,0,1,Low
passenger_emergency,7.88,0.0853,11,0,1,Low
passenger_emergency,36.92,0.2178,3,0,0,Medium
track_fault,18.22,0.1549,19,0,0,Medium
engine_issue,27.83,0.3364,14,0,1,Critical
passenger_emergency,14.08,0.2263,5,1,1,High
weather_alert,10.39,0.4522,7,0,0,High
track_fault,79.84,0.0391,7,0,1,High
engine_issue,27.47,0.5256,17,0,0,Critical
weather_alert,34.26,0.2015,10,0,1,High
weather_alert,0.01,0.2559,17,1,1,High
signal_failure,0.83,0.2959,14,0,1,High
track_fault,14.44,0.0909,7,0,1,Low
passenger_emergency,34.97,0.3151,8,0,1,High
track_fault,19.21,0.253,16,0,1,High
track_fault,0.1,0.3186,10,0,1,Medium
track_fault,20.75,0.1641,13,0,0,Low
signal_failure,24.15,0.134,3,0,1,Low
signal_failure,64.94,0.0556,9,1,1,High
track_fault,0.07,0.2206,11,0,1,Medium
passenger_emergency,1.47,0.0461,7,1,0,Low
signal_failure,28.9,0.8749,17,0,0,Critical
track_fault,17.3,0.4871,4,0,1,Critical
signal_failure,7.33,0.1752,17,1,1,High
engine_issue,10.27,0.1572,2,1,0,Low
track_fault,11.94,0.3008,9,0,0,Medium
weather_alert,37.48,0.1288,10,1,0,Medium
engine_issue,29.52,0.6114,5,1,1,Critical
weather_alert,10.22,0.2445,11,1,0,Medium
weather_alert,9.02,0.2599,18,1,0,High
engine_issue,7.49,0.2295,9,1,1,High
passenger_emergency,13.13,0.2104,11,1,1,High
engine_issue,23.67,0.251,19,1,0,High
passenger_emergency,20.56,0.1614,18,1,0,High
passenger_emergency,33.4,0.2888,1,1,0,High
engine_issue,13.88,0.6316,14,1,1,Critical
weather_alert,16.03,0.286,17,0,0,Medium
track_fault,9.49,0.4297,18,0,1,Critical
passenger_emergency,32.86,0.093,16,1,0,Medium
weather_alert,68.95,0.3626,2,0,1,Critical
passenger_emergency,7.66,0.3288,15,0,0,Medium
track_fault,18.75,0.512,17,1,0,Critical
weather_alert,3.46,0.2961,10,0,1,Medium
engine_issue,13.6,0.1506,1,0,1,Low
signal_failure,21.5,0.2348,4,1,0,Medium
signal_failure,5.35,0.4013,6,1,0,High
engine_issue,9.6,0.3477,17,1,0,High
track_fault,50.0,0.5137,3,1,0,Critical
signal_failure,0.06,0.1081,15,1,0,Low
engine_issue,33.71,0.1436,4,1,1,High
weather_alert,53.82,0.0687,16,1,0,High
track_fault,16.85,0.2271,1,0,0,Low
passenger_emergency,16.14,0.0657,5,1,1,Low
weather_alert,8.24,0.1746,2,0,0,Low
engine_issue,32.12,0.2823,11,1,0,High
passenger_emergency,16.33,0.1578,15,0,1,Medium
engine_issue,13.27,0.0577,8,1,1,Low
signal_failure,10.37,0.1984,11,0,0,Low
signal_failure,17.17,0.2945,13,0,0,Medium
passenger_emergency,0.03,0.1457,9,1,1,Medium
passenger_emergency,5.99,0.2234,15,0,0,Low
weather_alert,11.85,0.1333,6,0,0,Low
signal_failure,13.07,0.4458,4,0,0,High
track_fault,9.49,0.3011,4,1,1,High
signal_failure,33.47,0.6564,4,1,1,Critical
signal_failure,17.59,0.4444,1,0,1,High
track_fault,14.27,0.1487,1,1,0,Low
engine_issue,50.79,0.1283,2,0,0,Low
signal_failure,30.72,0.6904,3,1,1,Critical
passenger_emergency,36.29,0.2578,13,0,1,High
engine_issue,28.4,0.321,5,0,1,High
track_fault,18.78,0.4842,12,1,1,Critical
engine_issue,23.24,0.5472,2,1,0,Critical
weather_alert,6.9,0.2082,16,1,0,Medium
track_fault,2.81,0.1842,7,1,0,Low
signal_failure,20.11,0.4002,9,0,1,Critical
signal_failure,1.58,0.0559,13,1,0,Low
passenger_emergency,15.73,0.2617,19,0,0,Medium
signal_failure,0.86,0.2591,16,0,0,Medium
weather_alert,16.14,0.4144,8,1,0,High
track_fault,2.46,0.2321,7,1,0,Medium
weather_alert,8.62,0.3122,7,1,0,Medium
signal_failure,4.8,0.2905,2,1,1,Medium
passenger_emergency,9.98,0.1432,7,1,0,Low
weather_alert,7.63,0.1781,15,1,1,High
engine_issue,1.84,0.3222,6,1,1,High
track_fault,1.7,0.6051,8,0,1,Critical
passenger_emergency,0.89,0.2334,2,0,1,Low
track_fault,11.08,0.1876,5,0,0,Low
engine_issue,1.29,0.343,2,0,0,Low
track_fault,6.17,0.1499,9,0,0,Low
track_fault,5.77,0.3206,6,1,1,High
engine_issue,6.63,0.2812,19,0,1,High
signal_failure,12.3,0.4341,12,0,0,High
signal_failure,4.05,0.1561,8,1,0,Low
track_fault,7.27,0.2298,11,0,1,Medium
signal_failure,70.97,0.5324,19,1,1,Critical
engine_issue,27.64,0.5727,4,0,1,Critical
passenger_emergency,38.48,0.1273,5,1,1,High
signal_failure,8.28,0.3329,11,1,0,High
signal_failure,4.28,0.715,3,0,0,Critical
signal_failure,10.77,0.5579,10,0,1,Critical
engine_issue,6.92,0.3604,3,0,0,Medium
track_fault,30.03,0.2601,17,1,1,Critical
engine_issue,33.03,0.2852,15,1,1,Critical
signal_failure,14.52,0.0362,1,1,1,Low
track_fault,10.2,0.1166,11,1,1,Medium
engine_issue,8.11,0.4403,4,1,1,Critical
engine_issue,12.15,0.184,12,1,0,Medium
engine_issue,2.56,0.2116,11,0,1,Medium
weather_alert,35.93,0.1532,19,1,0,High
engine_issue,5.48,0.0935,4,0,1,Low
passenger_emergency,5.16,0.106,10,1,0,Low
engine_issue,51.21,0.2874,19,0,0,Critical
track_fault,38.99,0.3312,3,1,1,Critical
track_fault,20.34,0.0895,5,0,1,Low
track_fault,3.25,0.1821,14,1,0,Medium
engine_issue,15.43,0.1806,3,0,0,Low
track_fault,15.38,0.142,4,0,1,Low
passenger_emergency,2.75,0.2305,19,1,0,Medium
engine_issue,2.1,0.4233,12,0,1,High
passenger_emergency,2.94,0.3141,2,0,1,Medium
weather_alert,12.47,0.215,17,1,1,High
track_fault,2.17,0.2759,10,1,1,High
track_fault,3.26,0.4769,10,0,0,High
weather_alert,7.52,0.29,19,0,1,High
track_fault,10.03,0.341,6,0,0,Medium
track_fault,17.64,0.1746,8,1,0,Medium
passenger_emergency,3.17,0.087,11,0,1,Low
engine_issue,42.97,0.0248,5,1,0,Low
signal_failure,5.12,0.1739,3,1,1,Medium
engine_issue,19.67,0.28,3,0,1,Medium
engine_issue,0.51,0.263,6,0,0,Low
passenger_emergency,9.55,0.065,2,1,1,Low
weather_alert,5.27,0.1193,10,1,1,Medium
signal_failure,23.95,0.3592,19,1,1,Critical
signal_failure,33.97,0.243,5,1,1,High
weather_alert,16.43,0.347,1,1,0,High
signal_failure,83.37,0.7027,1,1,1,Critical
track_fault,1.8,0.2595,4,0,1,Low
signal_failure,14.26,0.1916,12,0,1,Medium
signal_failure,7.37,0.2493,9,1,1,High
passenger_emergency,12.93,0.2629,8,1,1,High
signal_failure,3.71,0.3225,15,1,1,Critical
signal_failure,22.86,0.2575,8,1,1,High
passenger_emergency,21.43,0.6235,12,1,1,Critical
signal_failure,6.75,0.2182,19,0,0,Medium
passenger_emergency,3.22,0.7271,4,0,1,Critical
signal_failure,11.44,0.269,3,1,1,High
signal_failure,13.71,0.1225,5,1,0,Low
signal_failure,13.99,0.1197,3,0,1,Low
weather_alert,13.13,0.3376,16,0,1,High
weather_alert,2.86,0.1597,17,1,1,High
engine_issue,13.62,0.4473,11,0,0,High
track_fault,9.17,0.1199,3,1,0,Low
signal_failure,33.1,0.0718,17,0,1,Medium
engine_issue,0.02,0.0885,18,1,1,Medium
track_fault,1.88,0.4821,8,0,0,High
engine_issue,8.85,0.0818,13,1,1,Medium
weather_alert,13.37,0.4108,12,0,0,High
passenger_emergency,11.02,0.3566,11,0,1,High
engine_issue,18.5,0.4942,7,1,1,Critical
signal_failure,4.3,0.478,6,1,1,Critical
track_fault,7.37,0.1751,6,1,0,Low
passenger_emergency,8.73,0.3298,7,1,0,High
engine_issue,17.75,0.3704,15,0,0,High
weather_alert,37.59,0.4993,16,0,1,Critical
engine_issue,16.43,0.0431,3,1,1,Low
signal_failure,0.74,0.1086,2,1,1,Low
passenger_emergency,8.28,0.166,10,1,1,Medium
weather_alert,12.03,0.2391,15,1,1,High
passenger_emergency,1.77,0.5745,11,0,1,Critical
passenger_emergency,3.19,0.3518,16,0,0,Medium
track_fault,12.44,0.2217,14,0,0,Medium
track_fault,8.76,0.324,14,1,1,Critical
track_fault,27.18,0.3557,11,1,0,Critical
passenger_emergency,22.98,0.2823,2,0,1,Medium
engine_issue,33.02,0.4184,4,1,1,Critical
engine_issue,2.36,0.1798,15,0,0,Low
passenger_emergency,23.79,0.432,6,1,1,Critical
weather_alert,2.02,0.069,14,0,1,Low
passenger_emergency,1.89,0.1839,7,1,1,Medium
passenger_emergency,5.16,0.6467,1,0,1,Critical
signal_failure,2.68,0.449,13,0,0,High
track_fault,19.64,0.4709,17,0,1,Critical
weather_alert,1.5,0.3627,9,1,1,High
passenger_emergency,23.87,0.4139,3,0,1,High
signal_failure,5.23,0.4937,8,0,1,Critical
track_fault,24.22,0.2509,19,1,0,High
engine_issue,10.83,0.167,7,1,1,Medium
weather_alert,16.07,0.1563,2,0,1,Low
signal_failure,0.86,0.4073,15,1,1,Critical
weather_alert,21.69,0.0739,5,1,1,Medium
track_fault,6.63,0.368,1,1,1,High
track_fault,2.46,0.5172,14,0,1,Critical
engine_issue,6.2,0.1515,7,1,0,Low
engine_issue,7.76,0.1643,3,0,0,Low
weather_alert,4.47,0.3523,2,1,1,High
track_fault,11.11,0.0973,4,1,0,Low
passenger_emergency,25.31,0.2921,3,1,0,High
signal_failure,8.76,0.3588,1,0,0,Medium
passenger_emergency,2.55,0.2428,8,0,1,Medium
signal_failure,8.16,0.3842,16,0,1,Critical
weather_alert,5.56,0.4905,8,1,0,Critical
track_fault,1.55,0.1241,1,1,1,Low
track_fault,3.6,0.3995,17,1,1,Critical
signal_failure,7.07,0.2101,13,0,1,Medium
weather_alert,13.21,0.3151,19,0,1,High
signal_failure,29.98,0.1249,12,0,1,Medium
weather_alert,0.63,0.3097,10,1,0,Medium
weather_alert,2.96,0.1934,10,1,0,Low
passenger_emergency,4.19,0.3067,1,0,0,Low
weather_alert,25.09,0.2315,8,0,0,Medium
track_fault,10.88,0.3038,9,0,1,High
weather_alert,5.24,0.4624,6,1,1,Critical
passenger_emergency,7.33,0.4606,16,1,1,Critical
track_fault,11.31,0.4053,19,0,0,High
signal_failure,4.01,0.2591,10,0,1,Medium
passenger_emergency,25.54,0.2445,15,0,1,High
signal_failure,23.41,0.0516,5,1,0,Low
engine_issue,10.99,0.2086,18,0,1,High
track_fault,36.91,0.4375,14,1,0,Critical
signal_failure,0.28,0.53,14,0,0,High
weather_alert,55.08,0.4367,12,1,0,Critical
signal_failure,65.07,0.0733,16,1,1,Critical
weather_alert,2.58,0.1013,11,0,0,Low
weather_alert,5.0,0.1933,19,1,1,High
signal_failure,8.25,0.6442,13,0,0,Critical
signal_failure,1.74,0.0687,9,1,1,Low
weather_alert,14.09,0.3657,4,1,0,High
engine_issue,3.58,0.2494,18,0,1,High
signal_failure,14.84,0.2884,2,0,1,Medium
passenger_emergency,11.4,0.3338,1,1,1,High
track_fault,9.77,0.1019,1,1,0,Low
signal_failure,2.57,0.1519,3,1,1,Low
passenger_emergency,6.71,0.3237,5,1,0,Medium
signal_failure,22.8,0.2544,10,0,0,Medium
engine_issue,28.4,0.4083,6,1,1,Critical
passenger_emergency,1.86,0.2132,9,0,1,Medium
engine_issue,1.21,0.6225,9,0,0,Critical
engine_issue,7.78,0.2516,9,0,1,Medium
track_fault,1.66,0.4196,2,0,1,High
signal_failure,27.84,0.1282,11,0,1,Medium
engine_issue,29.38,0.1695,6,0,0,Low
passenger_emergency,19.92,0.3883,11,0,0,High
signal_failure,6.95,0.2404,2,0,0,Low
passenger_emergency,1.68,0.2937,17,0,0,Medium
engine_issue,0.6,0.8009,14,0,0,Critical
engine_issue,17.34,0.3323,7,1,1,Critical
signal_failure,15.86,0.2374,7,0,0,Low
weather_alert,5.67,0.4392,7,0,1,High
signal_failure,15.95,0.348,19,0,0,High
track_fault,12.85,0.3864,14,0,1,Critical
weather_alert,1.33,0.2138,9,0,1,Medium
signal_failure,4.32,0.1925,13,1,0,Medium
engine_issue,17.93,0.0888,2,0,0,Low
engine_issue,10.08,0.1639,16,1,1,High
signal_failure,26.9,0.3037,12,1,0,High
track_fault,7.33,0.43,6,0,1,High
track_fault,37.37,0.5282,14,0,1,Critical
weather_alert,24.92,0.0204,1,0,1,Low
passenger_emergency,28.62,0.0543,10,0,1,Low
passenger_emergency,14.67,0.0588,18,1,1,Medium
signal_failure,1.5,0.4512,15,1,1,Critical
signal_failure,5.17,0.3655,1,0,0,Low
signal_failure,48.46,0.2565,12,0,1,Critical
engine_issue,4.5,0.1892,13,1,1,High
signal_failure,13.37,0.3102,11,1,0,High
track_fault,33.48,0.1791,7,1,0,Medium
passenger_emergency,30.56,0.082,13,0,0,Low
passenger_emergency,23.61,0.6194,9,1,1,Critical
passenger_emergency,25.22,0.2672,19,0,0,High
track_fault,20.18,0.13,16,1,0,Medium
weather_alert,22.34,0.2097,18,0,0,Medium
weather_alert,8.87,0.4125,8,1,1,Critical
signal_failure,21.83,0.3768,13,1,0,Critical
engine_issue,8.95,0.1435,3,1,0,Low
engine_issue,32.39,0.1755,15,1,1,Critical
track_fault,9.21,0.5282,15,0,0,Critical
weather_alert,22.41,0.3182,15,1,0,High
weather_alert,10.68,0.3611,1,0,1,Medium
engine_issue,1.75,0.1641,9,0,0,Low
weather_alert,46.27,0.0662,6,0,0,Low
weather_alert,6.93,0.2192,18,0,1,Medium
engine_issue,4.82,0.2874,11,1,0,Medium
track_fault,1.25,0.376,12,0,0,Medium
weather_alert,9.02,0.2416,9,0,1,Medium
weather_alert,8.28,0.0301,3,0,1,Low
passenger_emergency,34.55,0.3346,12,1,0,Critical
signal_failure,20.28,0.3197,12,1,1,Critical
engine_issue,2.79,0.1094,8,0,1,Low
passenger_emergency,7.64,0.3083,12,0,1,High
engine_issue,13.39,0.6644,8,1,1,Critical
passenger_emergency,39.06,0.5108,13,1,1,Critical
signal_failure,0.77,0.5514,7,0,0,High
signal_failure,6.44,0.1515,15,0,1,Medium
weather_alert,3.42,0.3731,17,1,0,High
track_fault,11.79,0.0402,10,0,0,Low
engine_issue,11.04,0.2241,1,0,1,Low
engine_issue,19.54,0.2625,13,0,0,Medium
engine_issue,10.3,0.325,18,1,1,Critical
passenger_emergency,13.33,0.3977,14,0,0,High
signal_failure,11.87,0.3366,7,1,0,High
weather_alert,2.12,0.1588,11,0,0,Low
passenger_emergency,4.04,0.2114,7,0,1,Low
weather_alert,4.79,0.2386,15,0,0,Medium
track_fault,81.27,0.2819,14,1,0,Critical
signal_failure,1.69,0.7878,12,0,1,Critical
weather_alert,2.52,0.4663,8,1,0,High
engine_issue,0.27,0.1662,4,1,0,Low
signal_failure,10.37,0.376,12,1,0,High
track_fault,21.18,0.0402,7,0,0,Low
passenger_emergency,19.34,0.2314,18,1,1,Critical
track_fault,11.78,0.1312,2,1,1,Medium
signal_failure,12.15,0.2675,17,0,0,Medium
weather_alert,9.05,0.2997,15,0,1,High
signal_failure,11.05,0.3401,10,1,0,High
passenger_emergency,17.18,0.359,19,0,0,High
passenger_emergency,69.51,0.0256,14,1,1,Critical
passenger_emergency,34.71,0.0666,1,0,0,Low
passenger_emergency,26.02,0.2045,8,1,0,Medium
track_fault,35.42,0.2882,16,0,1,Critical
track_fault,2.08,0.2101,15,1,1,High
track_fault,26.23,0.2582,4,1,1,High
engine_issue,38.18,0.2104,4,1,1,High
passenger_emergency,1.07,0.2594,18,1,1,High
weather_alert,5.73,0.2318,1,1,0,Low
weather_alert,21.17,0.0144,19,1,0,Medium
